Hora;Temp
17:32:05;31.9
17:32:05;31.9
17:32:06;32.0
17:32:07;32.0
17:32:08;32.2
17:32:08;32.4
17:32:09;32.4
17:32:09;32.6
17:32:10;32.8
17:32:10;32.8
17:32:11;33.0
17:32:11;33.3
17:32:12;33.5
17:32:12;33.8
17:32:13;34.0
17:32:13;34.3
17:32:14;34.6
17:32:15;34.6
17:32:15;34.8
17:32:16;35.1
17:32:16;35.3
17:32:17;35.5
17:32:17;35.8
17:32:18;36.0
17:32:19;36.3
17:32:19;36.5
17:32:20;36.8
17:32:20;37.0
17:32:22;37.0
17:32:22;37.2
17:32:23;37.5
17:32:23;37.7
17:32:24;38.0
17:32:24;38.1
17:32:25;38.4
17:32:25;38.6
17:32:26;38.8
17:32:27;39.1
17:32:27;39.3
17:32:28;39.5
17:32:29;39.7
17:32:29;39.9
17:32:30;40.1
17:32:30;40.1
17:32:31;40.3
17:32:31;40.3
17:32:32;40.5
17:32:32;40.5
17:32:33;40.7
17:32:33;41.0
17:32:34;41.1
17:32:34;41.3
17:32:35;41.5
17:32:35;41.8
17:32:36;42.0
17:32:36;42.1
17:32:37;42.3
17:32:38;42.5
17:32:38;42.7
17:32:39;42.9
17:32:40;43.1
17:32:41;43.3
17:32:41;43.5
17:32:42;43.6
17:32:43;43.8
17:32:43;44.0
17:32:44;44.2
17:32:44;44.4
17:32:45;44.5
17:32:46;44.7
17:32:46;44.9
17:32:47;45.1
17:32:48;45.1
17:32:48;45.2
17:32:49;45.2
17:32:49;45.4
17:32:50;45.6
17:32:50;45.7
17:32:51;45.9
17:32:51;46.1
17:32:52;46.1
17:32:52;46.3
17:32:53;46.4
17:32:53;46.4
17:32:54;46.6
17:32:54;46.7
17:32:55;46.9
17:32:55;47.1
17:32:56;47.2
17:32:56;47.4
17:32:57;47.5
17:32:58;47.7
17:32:58;47.7
17:32:59;47.8
17:32:59;48.0
17:33:00;48.1
17:33:01;48.3
17:33:01;48.5
17:33:02;48.6
17:33:02;48.6
17:33:03;48.8
17:33:03;48.9
17:33:04;49.0
17:33:04;49.2
17:33:05;49.3
17:33:06;49.3
17:33:06;49.5
17:33:07;49.6
17:33:07;49.8
17:33:08;50.0
17:33:08;50.1
17:33:09;50.2
17:33:10;50.2
17:33:10;50.4
17:33:11;50.5
17:33:11;50.6
17:33:12;50.6
17:33:12;50.6
17:33:13;50.8
17:33:13;50.9
17:33:14;51.1
17:33:14;51.2
17:33:15;51.3
17:33:15;51.5
17:33:16;51.6
17:33:16;51.7
17:33:17;51.9
17:33:17;52.0
17:33:18;52.0
17:33:19;52.1
17:33:19;52.3
17:33:20;52.4
17:33:20;52.5
17:33:21;52.6
17:33:21;52.6
