Hora;Temp
11:14:39;33,0
11:14:40;32,9
11:14:41;33,0
11:14:42;33,1
11:14:43;33,3
11:14:44;33,5
11:14:45;33,8
11:14:46;34,0
11:14:47;34,3
11:14:48;34,6
11:14:49;34,9
11:14:50;35,2
11:14:51;35,5
11:14:52;35,9
11:14:53;36,2
11:14:54;36,5
11:14:55;36,9
11:14:56;37,2
11:14:57;37,6
11:14:58;38,0
11:14:59;38,3
11:15:00;38,6
11:15:01;39,0
11:15:02;39,3
11:15:03;39,7
11:15:04;40,0
11:15:05;40,4
11:15:06;40,8
11:15:07;41,2
11:15:08;41,6
11:15:09;42,0
11:15:10;42,0
11:15:11;42,3
11:15:12;42,7
11:15:13;43,1
11:15:14;43,5
11:15:15;43,9
11:15:16;44,2
11:15:17;44,6
11:15:18;45,0
11:15:19;45,4
11:15:20;45,7
11:15:21;46,1
11:15:22;46,5
11:15:23;46,8
11:15:24;47,2
11:15:25;47,6
11:15:26;48,0
11:15:27;48,3
11:15:28;48,6
11:15:29;49,0
11:15:30;49,3
11:15:31;49,7
11:15:32;50,0
11:15:33;50,4
11:15:34;50,7
11:15:35;51,1
11:15:36;51,5
11:15:37;51,8
11:15:38;52,1
11:15:39;52,5
11:15:40;52,8
11:15:41;53,1
11:15:42;53,5
11:15:43;53,8
11:15:44;54,1
11:15:45;54,5
11:15:46;54,5
11:15:47;54,8
11:15:48;55,1
11:15:49;55,5
11:15:50;55,8
11:15:51;56,1
11:15:52;56,5
11:15:53;56,8
11:15:54;57,1
11:15:55;57,4
11:15:56;57,7
11:15:57;58,0
11:15:58;58,3
11:15:59;58,7
11:16:00;59,0
11:16:01;59,3
11:16:02;59,6
11:16:03;59,9
11:16:04;60,2
11:16:05;60,5
11:16:06;60,8
11:16:07;61,1
11:16:08;61,4
11:16:09;61,7
11:16:10;62,0
11:16:11;62,3
11:16:12;62,6
11:16:13;62,9
11:16:14;63,2
11:16:15;63,5
11:16:16;63,8
11:16:17;64,1
11:16:18;64,4
11:16:19;64,7
11:16:20;65,0
11:16:21;65,3
11:16:22;65,3
11:16:23;65,6
11:16:24;65,9
11:16:25;66,1
11:16:26;66,5
11:16:27;66,8
11:16:28;67,0
11:16:29;67,3
11:16:30;67,6
11:16:31;67,9
11:16:32;68,2
11:16:33;68,5
11:16:34;68,8
11:16:35;69,1
11:16:36;69,4
11:16:37;69,6
11:16:38;70,0
11:16:39;70,2
11:16:40;70,5
11:16:41;70,8
11:16:42;71,1
11:16:43;71,4
11:16:44;71,6
11:16:45;72,0
11:16:46;72,3
11:16:47;72,5
11:16:48;72,8
11:16:49;73,1
11:16:50;73,4
11:16:51;73,6
11:16:52;74,0
11:16:53;74,2
11:16:54;74,5
11:16:55;74,8
11:16:56;75,1
11:16:57;75,3
11:16:58;75,6
11:16:59;75,9
11:17:00;76,1
11:17:01;76,5
11:17:02;76,7
11:17:03;77,0
11:17:04;77,3
11:17:05;77,5
11:17:06;77,8
11:17:07;78,1
11:17:08;78,3
11:17:09;78,6
11:17:10;78,8
11:17:11;79,1
11:17:12;79,3
11:17:13;79,3
11:17:14;79,6
11:17:15;79,6
11:17:16;79,8
11:17:17;80,1
